<PAD>	1000000000
<UNK>	1000000000
<S>	1000000000
</S>	1000000000
，	747
、	489
的	443
0	402
公	385
。	378
司	315
1	288
人	251
2	242
有	220
工	206
业	183
年	182
期	181
投	174
标	169
水	152
上	145
在	142
3	141
资	138
用	137
报	137
一	126
不	124
股	122
发	121
员	111
中	108
5	108
大	106
市	106
：	102
行	101
服	100
名	98
（	98
）	98
要	97
月	97
残	95
4	95
务	93
限	93
地	90
生	89
经	88
为	87
告	87
和	87
金	86
疾	85
加	85
作	84
交	83
合	82
6	82
项	82
会	81
进	81
.	81
时	80
-	80
证	79
产	76
了	76
本	75
东	74
开	74
“	73
”	73
8	71
江	70
利	70
下	70
目	70
及	69
主	69
日	69
系	69
成	69
到	68
以	68
提	67
方	67
件	66
通	65
是	64
等	63
计	63
动	62
事	61
保	61
建	60
能	60
收	60
前	60
；	59
家	59
网	58
活	58
元	57
入	57
天	56
间	56
同	55
三	55
分	55
定	55
来	55
增	54
县	54
展	54
国	54
内	54
较	54
罗	53
供	53
楼	53
所	52
设	52
可	51
心	51
致	51
自	51
招	50
7	50
企	50
装	50
位	49
程	49
放	49
并	49
额	49
理	48
品	48
情	48
联	47
钟	47
现	46
性	46
聘	45
面	45
对	45
适	45
9	44
每	44
南	44
博	43
易	43
后	43
应	43
权	43
出	43
试	42
采	42
况	42
购	42
平	41
政	41
益	41
关	40
管	40
多	40
式	40
度	40
长	40
胜	40
按	39
将	39
就	39
法	38
于	38
他	38
两	38
者	38
达	38
无	38
说	38
余	38
/	38
文	38
二	37
与	37
规	37
电	37
已	37
安	37
实	36
力	36
非	36
%	35
记	35
子	35
考	34
信	34
复	34
基	34
表	34
明	34
个	34
过	34
营	34
号	33
城	33
全	33
常	33
高	33
层	33
阴	33
体	32
检	32
质	32
新	31
持	31
备	31
路	31
万	31
化	30
第	30
单	29
据	29
求	29
《	29
》	29
接	29
其	29
重	29
该	29
让	29
修	29
纳	29
州	28
参	28
办	28
共	28
物	28
这	28
至	28
厂	28
阳	27
训	27
确	27
场	27
准	27
商	27
集	27
源	26
康	26
转	26
数	26
取	26
次	26
